Country name,Regional indicator,Healthy life expectancy,Freedom to make life choices
Zambia,Sub-Saharan Africa,55.809,0.782
Sierra Leone,Sub-Saharan Africa,51.651,0.717
India,South Asia,60.633,0.893
Burundi,Sub-Saharan Africa,53.4,0.626
Yemen,Middle East and North Africa,57.122,0.602
Tanzania,Sub-Saharan Africa,57.999,0.833
Haiti,Latin America and Caribbean,55.7,0.593
Malawi,Sub-Saharan Africa,57.948,0.78
Lesotho,Sub-Saharan Africa,48.7,0.715
Botswana,Sub-Saharan Africa,59.269,0.824
Rwanda,Sub-Saharan Africa,61.4,0.897
Zimbabwe,Sub-Saharan Africa,56.201,0.677
Afghanistan,South Asia,52.493,0.382
